Country,Region,Income_Level,Year,TB_Cases,TB_Deaths,TB_Incidence_Rate,TB_Mortality_Rate,TB_Treatment_Success_Rate,Drug_Resistant_TB_Cases,HIV_CoInfected_TB_Cases,Population,GDP_Per_Capita,Health_Expenditure_Per_Capita,Urban_Population_Percentage,Malnutrition_Prevalence,Smoking_Prevalence,TB_Doctors_Per_100K,TB_Hospitals_Per_Million,Access_To_Health_Services,BCG_Vaccination_Coverage,HIV_Testing_Coverage
India,Africa,Lower-Middle,2002,11344,5138,44.07,2.83,59.29,2110,7312,1254472014,54665,3278,41.43,47.76,9.58,8.97,16.43,58.88,79.92,66.45
Bangladesh,Asia,Upper-Middle,2016,38129,5469,33.36,38.67,81.99,110,5502,177429657,12634,6618,85.22,5.2,37.55,2.43,19.89,49.62,78.3,83.94
South Africa,North America,Lower-Middle,2013,3411,1435,39.95,42.02,82.93,3927,470,1085396626,44756,1525,35.98,19.27,8.32,2.7,16.89,73.11,75.32,44.83
Pakistan,North America,Low,2005,9491,2483,471.52,10.76,57.97,4909,2312,101238867,30125,2457,49.39,42.68,5.14,9.82,7.25,81.82,76.35,41.98
India,Asia,Low,2007,12072,1351,426.44,10.87,69.52,878,2643,259077512,40872,7593,87.16,29.14,18.62,2.44,14.37,47.82,91.33,63.82
Bangladesh,Europe,High,2021,43566,6908,424.02,3.06,77.92,4107,9553,793276468,45769,985,42.31,41.34,8.63,9.54,10.91,50.96,65.53,43.0
USA,North America,Low,2004,30193,9000,462.87,48.55,51.17,31,371,765108789,37282,5465,65.12,43.4,35.21,6.53,15.84,74.82,76.96,48.17
Indonesia,South America,Low,2007,40504,8988,257.58,40.55,68.21,2635,5503,595190666,1399,2295,42.17,24.92,37.29,0.6,3.49,97.57,83.32,39.12
Brazil,North America,Lower-Middle,2001,38833,8834,131.2,18.67,56.97,1913,7156,1007195431,34457,5739,27.75,21.15,21.88,3.42,12.94,44.97,60.28,44.14
Pakistan,South America,Low,2014,17993,5694,206.66,24.61,74.39,2586,797,1118802358,31592,4387,63.93,25.49,19.89,4.81,15.59,75.8,95.32,67.56
USA,Asia,Low,2011,40197,5138,362.24,15.31,87.93,4119,218,94114936,33920,6622,84.12,34.38,23.87,8.35,15.34,93.46,86.12,84.57
Russia,Asia,Upper-Middle,2016,18134,9310,439.26,30.26,73.61,4624,8468,803679172,57648,4000,51.68,21.52,12.92,3.35,19.29,62.34,52.61,60.82
USA,North America,Low,2000,25061,5490,223.19,36.15,51.62,3303,5102,449324554,1482,2708,63.83,39.87,15.43,3.17,1.64,52.18,92.39,20.7
Indonesia,Africa,Upper-Middle,2014,18533,7543,272.34,22.92,51.33,1945,563,827147562,33843,6199,62.62,45.68,8.53,9.21,7.24,76.68,95.56,38.47
Russia,South America,Low,2013,7851,6341,466.57,43.81,77.25,625,8035,1134197028,9024,7535,49.06,17.7,20.63,0.88,9.79,32.2,88.89,86.66
Pakistan,Europe,Low,2019,26421,3357,62.67,26.33,64.76,2460,9789,536733608,4807,3333,63.04,48.42,26.41,5.56,6.54,55.21,70.89,83.72
Indonesia,North America,High,2021,19840,8944,432.53,8.07,75.77,3594,4526,1399285306,58132,1346,38.15,33.02,37.56,5.09,6.54,48.06,98.72,28.1
China,Europe,High,2015,15401,4758,88.06,31.49,57.36,296,6461,1325956391,7253,1697,46.46,44.52,30.87,0.67,3.93,45.72,56.1,83.59
Brazil,North America,Upper-Middle,2008,11138,154,247.09,23.65,84.96,3328,9320,1216328271,43673,8601,50.96,9.68,30.31,0.97,16.35,42.58,76.29,87.52
Pakistan,Africa,Low,2000,39096,9739,117.03,46.85,88.73,1933,1523,5209777,43633,3502,80.48,16.32,15.78,3.88,18.21,81.59,58.35,42.72
China,Africa,Lower-Middle,2016,21878,3883,305.44,20.2,90.02,4931,7435,1328286248,32400,9406,44.38,19.45,36.09,1.43,2.11,96.86,71.53,69.07
Bangladesh,Africa,High,2012,44824,445,283.7,20.74,63.68,2783,5361,862076547,45293,8142,64.46,18.63,38.14,4.83,3.52,56.93,95.44,59.2
Pakistan,Africa,Lower-Middle,2020,23320,3567,196.2,32.89,79.73,2100,6759,202619021,41008,5679,34.94,12.73,37.63,6.13,4.95,33.44,88.92,43.59
Bangladesh,Asia,High,2020,25560,3341,433.02,26.82,62.56,2811,7015,134781533,17939,3294,37.68,44.07,6.36,6.94,10.43,80.32,88.32,30.73
Russia,Asia,High,2004,33142,2060,333.31,19.35,84.32,1002,8422,555345990,39294,7237,65.39,23.84,26.15,5.51,15.93,67.67,67.34,45.68
China,South America,Low,2009,25878,4587,363.39,49.5,55.42,1594,2354,158207191,21253,4075,73.36,48.34,27.51,3.86,1.89,80.66,95.78,84.95
Brazil,Europe,High,2005,8650,9910,83.82,15.81,84.32,1913,7164,1159851558,34592,8744,52.35,31.26,15.33,1.38,12.92,75.35,68.04,76.79
Indonesia,North America,Lower-Middle,2023,43375,5018,442.75,14.6,69.79,885,1981,1072233045,48648,6420,43.46,11.23,39.73,2.55,3.41,93.38,51.96,43.15
Nigeria,North America,High,2018,24559,4812,91.85,43.36,88.5,4839,4448,328150523,4095,4254,83.72,29.57,15.19,4.25,19.44,39.83,81.25,58.34
USA,Asia,Upper-Middle,2024,35025,1101,119.16,1.17,83.25,1895,5334,771475686,20711,9585,29.51,49.71,12.58,9.25,18.03,41.84,67.77,48.42
India,North America,Low,2012,18693,2891,72.75,10.86,66.94,153,9093,214449363,27738,3862,70.45,30.43,21.95,2.11,19.02,53.91,57.53,52.64
Brazil,Asia,Low,2000,44467,6668,225.78,29.93,90.66,2266,5679,171433584,19207,9052,68.31,5.08,16.31,4.19,2.57,64.4,95.8,73.28
China,South America,Upper-Middle,2019,28301,4773,444.98,8.96,62.75,1132,5171,1394602884,46586,7304,68.32,46.99,37.34,7.35,10.02,94.8,81.22,58.01
Nigeria,Europe,Upper-Middle,2024,49563,7522,133.7,49.3,93.51,709,1215,1131206505,2382,835,85.48,15.57,20.4,7.08,3.72,93.49,96.09,32.67
Brazil,South America,Upper-Middle,2014,26746,7963,193.14,23.75,84.52,4219,9420,296943941,28139,277,70.97,35.98,19.36,9.66,12.21,91.03,78.57,38.83
China,Africa,High,2013,13307,5574,424.57,30.27,94.58,280,1865,1016619705,14266,4997,41.11,28.18,26.91,1.99,5.04,45.58,53.13,59.75
South Africa,Africa,Low,2007,18035,3634,312.73,8.86,52.43,72,2009,670083076,1653,7527,44.74,19.64,7.84,0.26,15.53,81.08,51.47,68.5
South Africa,Africa,Upper-Middle,2009,5992,8589,378.29,15.18,62.33,1017,2445,1097663305,53022,877,47.38,17.72,31.49,3.29,13.06,56.84,94.13,55.57
Bangladesh,South America,High,2008,31857,1313,114.86,31.12,83.36,2853,6790,1158521435,57940,428,22.16,46.79,31.89,1.58,11.65,95.18,51.9,63.41
Brazil,North America,Upper-Middle,2016,6802,4715,361.08,27.93,91.5,2282,3108,112498498,17160,6306,83.95,46.04,21.59,5.53,16.59,45.02,80.14,75.26
South Africa,Europe,Lower-Middle,2008,32814,8064,121.53,39.43,51.29,1992,3396,429886092,38672,9370,25.15,28.09,38.45,9.0,10.26,39.89,64.6,58.18
China,Africa,Lower-Middle,2002,49197,1401,493.78,14.19,50.0,2438,5450,1391100911,38560,6132,68.99,16.63,25.28,6.91,5.76,88.97,83.7,88.4
Bangladesh,Africa,Low,2010,5247,7030,284.34,33.02,61.53,3734,6446,350851329,25407,8532,71.11,9.61,29.33,1.44,12.6,80.18,63.95,36.49
China,Africa,High,2011,47506,7240,350.86,15.26,88.38,4423,1787,1273568701,43712,3598,79.06,12.05,37.35,1.25,19.16,87.5,51.82,84.38
Bangladesh,Europe,Lower-Middle,2009,41670,3877,68.02,29.75,84.52,2765,7413,605533794,53850,7738,58.74,28.5,28.32,9.12,12.22,41.06,85.81,37.34
Brazil,Africa,Lower-Middle,2024,11186,8911,132.82,30.65,65.31,3744,6868,836269043,11743,109,70.77,18.85,20.11,4.93,12.78,91.94,65.23,57.22
Nigeria,Europe,High,2016,37949,2696,78.47,6.97,50.09,1302,2949,698121905,53348,5481,41.19,6.89,5.87,9.24,18.73,77.43,76.99,51.91
Indonesia,Africa,Upper-Middle,2016,19391,316,201.18,27.88,74.96,4519,848,1376339581,46510,2720,72.19,25.48,30.49,7.39,10.55,75.61,87.92,46.1
Pakistan,South America,High,2024,36696,9680,149.23,1.58,60.71,4330,5735,509123187,43867,3389,44.04,38.58,38.77,9.93,19.93,70.78,84.44,87.39
Nigeria,South America,Upper-Middle,2010,30428,7484,369.13,25.56,83.55,1187,4769,707963502,20086,2839,83.2,45.13,21.46,8.73,3.61,83.54,67.08,39.06
Russia,Europe,Lower-Middle,2021,7994,1072,63.27,35.18,70.09,4726,4870,457542645,51738,3704,31.44,31.34,16.89,4.2,10.97,59.09,86.64,67.24
China,South America,Lower-Middle,2003,37223,7997,378.51,4.57,80.54,2630,3148,1332838363,17190,5598,42.1,37.55,23.17,7.61,4.65,39.3,95.36,76.28
Russia,Europe,Lower-Middle,2006,30377,2087,32.4,47.0,88.35,2546,185,848194218,50535,5152,54.91,21.38,30.5,4.77,9.34,67.75,79.89,33.79
Nigeria,South America,Low,2020,28481,8806,108.99,23.48,74.11,1978,4615,725587478,7163,7568,74.31,27.33,5.02,2.41,3.83,82.37,84.47,88.12
Bangladesh,South America,Low,2013,14526,7828,398.06,46.98,65.12,1205,3172,1018486370,48481,2712,72.42,37.83,36.05,2.49,4.84,40.76,92.43,58.26
Pakistan,Europe,Low,2006,20922,1109,373.96,6.26,84.63,2841,2762,1093504552,6689,251,34.75,37.74,36.02,4.03,4.61,45.68,91.34,84.01
Pakistan,North America,High,2023,9744,1474,243.4,47.55,61.93,517,9391,983899046,21173,7137,30.1,24.1,23.95,1.2,6.74,78.76,67.23,66.47
India,South America,Lower-Middle,2007,33981,4173,34.49,6.35,90.12,414,847,37520735,4089,8712,41.28,29.47,9.28,1.86,3.12,48.88,98.59,65.46
Pakistan,Africa,Lower-Middle,2000,24144,269,308.85,23.61,53.21,1304,7855,948572462,49507,7993,53.86,46.57,28.51,5.06,16.28,41.9,51.4,44.19
Indonesia,North America,High,2023,44348,455,209.29,46.96,87.6,3635,2743,928208939,36909,3076,57.73,33.44,9.82,9.54,4.8,92.26,98.35,73.94
Pakistan,Europe,Low,2021,9021,9879,165.1,12.4,54.12,2829,7698,955226553,40604,3406,50.04,33.92,22.76,5.82,8.62,41.26,62.05,22.09
Nigeria,North America,High,2003,2246,2368,323.8,2.7,52.53,4769,5216,41768655,15981,4023,66.42,40.31,8.28,4.14,0.81,54.09,71.58,58.91
India,Asia,Low,2011,18091,9916,223.94,39.86,66.35,3647,2663,745632028,21992,4521,49.93,10.19,25.62,2.5,2.55,59.99,93.3,22.25
Nigeria,Asia,Lower-Middle,2023,27218,9033,55.29,30.2,93.04,1883,6150,1251841120,47810,4287,86.24,28.53,16.13,2.04,17.98,63.33,61.97,41.48
Nigeria,South America,Upper-Middle,2002,3196,5108,458.82,26.18,94.26,1416,7229,1191830727,2662,3173,38.27,48.17,34.08,6.62,16.82,55.29,61.01,26.74
USA,South America,Low,2012,12512,1359,391.46,2.68,59.09,3593,3359,1020431159,15074,2357,63.92,21.27,33.0,8.5,16.9,93.88,81.51,83.81
India,Africa,Lower-Middle,2019,15188,7671,37.63,33.01,56.69,1587,3320,605197940,23593,6053,62.8,18.27,39.95,4.05,8.52,76.1,84.57,63.98
Nigeria,North America,Lower-Middle,2005,23957,4979,267.28,9.41,65.88,4386,4690,451442815,30364,3840,39.71,32.05,14.01,5.55,3.26,55.16,50.37,66.8
USA,Asia,Upper-Middle,2010,5536,9572,50.86,46.63,65.17,3437,2396,747948921,5667,5985,48.82,14.95,7.16,7.1,2.6,55.04,72.07,79.58
USA,South America,Lower-Middle,2022,40395,8752,420.27,34.6,84.18,646,5201,370974645,44243,6571,45.58,30.02,20.51,0.68,12.31,65.21,73.97,71.31
India,North America,Lower-Middle,2003,30460,8733,310.38,35.64,69.98,817,383,613893395,20025,3160,32.07,12.0,7.92,3.57,16.65,32.36,63.32,28.69
Russia,South America,Low,2019,36986,1667,94.5,12.4,85.09,2405,4685,349227083,55783,8589,53.41,31.09,11.25,7.32,18.05,94.86,76.76,63.23
Bangladesh,South America,Low,2015,22659,1570,20.16,44.16,83.69,4534,1271,1279272467,21487,1651,47.07,32.11,25.91,6.88,6.13,45.63,57.57,88.47
Indonesia,Asia,Upper-Middle,2006,8410,7942,25.47,27.35,76.02,1425,7643,861561491,17038,3827,32.48,23.83,25.72,0.63,6.76,78.83,65.86,34.99
Bangladesh,Asia,Upper-Middle,2021,3193,1633,258.61,43.0,87.51,2459,8322,531709379,4130,4973,51.49,22.22,6.52,2.45,2.47,84.44,84.95,63.38
Pakistan,South America,Lower-Middle,2010,16358,6754,369.84,14.28,58.8,4770,5542,323843741,9152,5969,49.53,16.05,20.5,6.83,15.6,87.92,92.82,59.45
Indonesia,Europe,Low,2023,29310,8038,69.21,38.02,57.28,4855,5852,972632030,51048,3828,29.2,19.89,23.56,2.79,5.88,41.59,78.88,47.42
Pakistan,South America,Upper-Middle,2000,20592,6633,118.43,29.15,83.78,3506,3855,427116437,25866,8563,29.18,27.43,14.38,8.16,9.88,67.57,53.67,86.82
Nigeria,South America,Upper-Middle,2006,23743,1625,170.36,3.37,61.02,3598,2894,169293070,46781,5913,65.33,16.14,35.52,0.39,18.61,35.86,83.26,44.95
China,Africa,High,2011,49200,6985,116.86,20.86,50.13,4039,4148,842802277,40065,229,69.46,40.23,10.64,1.98,15.17,86.34,93.98,26.56
India,Africa,Upper-Middle,2006,31005,6226,201.75,10.01,91.04,4742,5633,133902308,31536,4015,85.88,36.91,13.89,2.88,1.53,64.05,74.71,87.38
Indonesia,Africa,Lower-Middle,2022,8192,9288,284.21,18.6,78.03,524,2129,1205204891,39862,9954,26.09,17.12,10.49,9.26,0.66,41.09,74.19,71.05
Indonesia,Europe,Low,2006,29055,2663,345.62,19.78,70.02,3304,7726,281521418,53361,8270,28.25,9.38,9.08,7.98,15.85,80.31,98.58,43.97
Nigeria,Europe,Upper-Middle,2009,6898,3942,482.25,24.27,82.66,2918,500,339563658,2367,8979,23.63,5.01,35.76,8.85,11.27,53.18,81.18,39.64
Russia,South America,High,2015,7752,8703,466.11,30.41,65.0,2508,3055,752283327,26764,3769,57.26,31.85,14.73,4.46,14.55,38.02,89.5,84.96
USA,Africa,Low,2007,12221,6783,289.36,28.98,92.91,1376,392,3955080,1076,6380,63.59,14.51,30.29,8.24,3.56,62.28,81.68,39.15
Nigeria,Europe,Upper-Middle,2008,18439,4481,369.73,2.91,53.09,350,814,919445577,7763,104,48.25,5.57,19.98,8.55,17.5,46.47,60.82,57.6
South Africa,Asia,High,2008,12325,8162,475.93,37.78,78.84,3982,5595,229609450,47499,6707,75.85,21.16,27.26,4.06,15.58,96.52,63.92,35.05
USA,South America,Upper-Middle,2001,25751,1431,50.9,47.51,84.98,1570,9379,1047264936,4264,9675,68.07,48.29,37.49,9.95,17.87,55.3,82.62,89.67
India,North America,Low,2012,37455,9387,12.76,18.09,71.11,2478,2227,1118841572,25437,8048,89.01,36.05,34.56,8.53,7.15,70.07,72.35,73.87
USA,South America,Low,2012,24651,3565,24.6,9.81,83.97,2438,9497,472649193,33724,2114,29.65,43.6,7.41,9.74,5.88,96.39,69.81,59.73
Russia,North America,Low,2022,536,4504,286.04,27.46,91.71,3698,9119,329249342,28325,4233,24.08,11.51,34.58,8.68,3.46,57.56,51.1,72.21
USA,Africa,Lower-Middle,2022,28912,7819,383.79,35.54,83.48,2705,7287,1298177101,29300,3344,39.24,8.3,20.81,7.78,18.64,55.07,93.33,84.15
India,North America,Upper-Middle,2003,18671,6539,189.87,34.27,63.92,2037,6604,937571621,53213,3905,21.33,5.52,17.26,9.44,3.95,41.37,93.34,87.42
Russia,Africa,Lower-Middle,2024,39551,8434,277.17,30.99,75.28,3762,6796,388868803,36378,2801,85.28,48.0,28.53,4.26,2.83,95.68,72.59,75.02
Bangladesh,Asia,Low,2023,33261,3584,263.02,8.17,91.02,325,6176,848286367,53181,774,41.28,18.51,38.26,7.86,4.26,86.05,84.34,79.43
Indonesia,North America,High,2011,15702,805,56.44,42.0,70.21,3999,2424,407136310,38175,9495,58.67,25.68,8.29,2.21,15.54,45.47,58.71,47.85
Indonesia,South America,Upper-Middle,2016,8560,9926,167.58,21.86,80.68,1111,660,1108516404,5468,9419,42.26,22.75,31.88,7.35,17.85,53.29,74.69,47.43
Pakistan,Africa,Lower-Middle,2001,8565,2575,19.52,11.85,70.95,540,8179,857780650,25425,9538,37.21,37.87,12.12,7.87,16.31,94.04,71.5,76.58
Bangladesh,South America,Upper-Middle,2012,30373,877,64.25,5.23,55.46,2412,4925,1249762463,27768,8099,30.67,18.95,18.3,7.19,11.48,67.61,82.17,73.17
Bangladesh,Europe,High,2017,37148,9131,407.81,21.42,52.64,1869,3208,881123921,14702,9136,42.43,29.1,35.58,8.51,19.88,68.94,73.01,83.07
USA,Africa,Lower-Middle,2014,6432,4798,416.41,31.28,92.85,4767,951,714829784,21431,2549,63.08,49.8,24.1,4.19,1.84,75.37,74.42,29.31
Indonesia,North America,Low,2007,26970,2383,402.95,33.6,77.56,1229,8742,109928006,4583,1379,88.01,24.98,7.36,5.49,17.41,83.35,64.49,68.36
India,Africa,Lower-Middle,2014,8828,4996,366.14,48.17,54.67,4232,5815,467241207,16992,5167,59.07,29.81,22.78,0.21,8.84,95.75,52.37,65.34
Brazil,South America,Upper-Middle,2000,6833,8352,398.72,8.5,88.58,4454,3737,41902525,57403,2677,57.29,27.61,32.64,1.55,9.37,86.16,94.93,75.9
Brazil,Asia,Upper-Middle,2019,47138,8096,338.78,49.3,73.52,1776,2539,660025140,1731,2500,22.47,41.14,23.51,6.48,2.99,95.42,50.6,21.72
Russia,Africa,Upper-Middle,2009,11768,9034,338.22,33.08,84.74,1077,1212,1251906030,33844,9411,78.81,17.01,10.84,5.67,1.15,87.44,63.78,77.84
Indonesia,North America,Upper-Middle,2011,5567,7231,337.01,23.26,55.7,737,4974,938262962,740,7107,23.14,12.67,20.58,2.05,6.67,33.25,71.93,42.85
Indonesia,Europe,Low,2004,48884,3464,261.88,44.52,90.81,253,660,616396305,11330,7915,83.44,38.93,37.35,2.51,3.91,38.23,65.64,68.1
Brazil,Asia,Lower-Middle,2008,45343,9551,188.04,35.03,76.57,1795,3016,256558510,48715,4344,57.71,23.7,28.04,3.51,9.93,91.94,77.04,63.16
Indonesia,Europe,Low,2022,17545,6507,367.8,18.09,83.22,721,2914,560653457,24450,9706,31.79,46.12,30.55,7.19,3.37,31.94,72.62,50.81
USA,Africa,Low,2007,41241,6799,156.34,44.32,51.41,2903,8515,704502464,39077,1780,51.62,33.99,32.51,6.14,3.19,85.59,62.52,72.22
South Africa,South America,Low,2015,23270,346,276.02,33.66,64.19,3160,4124,1371452768,27117,8199,89.65,30.4,8.17,0.79,17.6,89.49,54.31,87.29
China,South America,Upper-Middle,2013,43270,9871,222.34,35.24,62.04,4191,9385,761104521,14073,1173,41.36,8.17,25.35,7.62,18.47,59.08,56.74,42.64
Bangladesh,North America,Upper-Middle,2024,8387,618,145.54,44.92,92.73,1518,131,592993402,56373,7243,38.86,37.87,18.16,2.7,19.3,54.84,73.83,72.39
Pakistan,South America,Upper-Middle,2012,33682,5333,487.6,22.97,58.34,280,6613,683456135,50022,4671,28.26,35.87,9.87,6.75,13.77,43.61,91.45,42.02
Russia,Asia,Lower-Middle,2022,32870,7714,136.79,33.19,81.82,1807,8370,1233638965,55706,1538,61.8,33.8,12.09,1.32,15.53,33.42,54.93,79.2
South Africa,South America,High,2020,40118,7561,161.55,37.49,51.92,2570,3692,25374431,27228,314,26.25,17.06,32.34,9.98,16.8,82.18,83.18,50.61
Brazil,North America,Upper-Middle,2012,25418,5515,89.18,23.24,58.9,3570,4734,1088632470,49749,2079,73.62,47.6,10.65,0.9,13.35,35.16,88.81,51.45
Bangladesh,Africa,Lower-Middle,2004,35997,8313,413.26,5.09,65.24,4013,4131,940340237,55258,6924,84.35,19.47,15.93,7.44,6.94,96.13,63.56,74.03
Indonesia,Africa,Upper-Middle,2015,28526,4432,297.43,38.8,85.75,2187,6874,57442384,43408,9485,85.23,11.85,14.97,5.46,3.55,50.77,82.74,54.73
Pakistan,South America,Upper-Middle,2010,12429,115,310.39,3.34,85.55,847,7404,218024600,41424,3816,27.55,49.42,6.7,0.95,5.13,85.6,83.65,38.67
Indonesia,Europe,Low,2021,48256,929,412.08,36.18,92.87,2827,1739,1212865910,26571,8637,59.08,38.58,21.18,0.37,16.89,34.18,84.68,89.69
India,Africa,Low,2004,37165,8309,178.03,45.63,91.25,3724,5962,444844613,10785,7106,26.8,23.67,31.81,3.69,14.07,67.54,93.65,63.42
India,South America,Low,2012,35437,9458,104.88,18.0,53.67,3088,5139,9068691,28013,9722,60.04,47.12,5.78,8.04,9.39,54.44,69.53,65.16
Pakistan,North America,Lower-Middle,2010,14063,7272,107.22,6.0,87.34,2909,1128,641319571,10770,8349,77.05,9.1,8.94,0.51,1.07,32.1,61.94,65.26
Pakistan,South America,High,2024,29046,5119,368.98,12.41,70.3,1786,2178,468756447,19339,3613,57.65,8.94,30.21,7.07,5.69,75.91,76.65,81.84
Brazil,Africa,High,2018,13388,3289,310.92,28.55,88.96,1660,7678,1335328391,20330,8121,81.04,35.71,25.78,6.59,14.71,96.02,53.06,32.87
Pakistan,North America,Lower-Middle,2002,37838,557,111.11,47.19,54.02,2958,1060,1143377068,42865,7899,76.12,13.01,30.03,2.73,10.49,30.75,66.36,24.14
USA,South America,Upper-Middle,2014,34783,7754,81.08,26.1,87.02,2530,8906,1398462127,16770,6085,39.36,46.27,13.05,0.87,8.99,48.93,93.28,47.07
Indonesia,Asia,Lower-Middle,2006,17458,1175,69.14,6.52,57.18,2395,6650,780395770,38079,8009,64.11,42.82,33.13,9.16,6.62,79.25,76.07,59.54
South Africa,North America,Upper-Middle,2006,13134,935,317.62,31.76,65.02,4424,2909,1393887580,8327,3246,20.52,18.79,21.8,3.07,12.34,90.99,71.4,40.0
Nigeria,Asia,Lower-Middle,2005,19751,2891,10.06,36.91,51.3,2778,3217,1183708241,52343,1235,47.72,45.0,26.36,1.2,19.34,43.35,63.02,68.24
Pakistan,Europe,Lower-Middle,2002,47066,8025,18.98,20.27,55.57,4248,8908,991368062,44205,4181,36.66,6.93,8.23,6.85,18.07,34.95,62.27,25.17
Russia,North America,Lower-Middle,2012,20428,6615,200.88,36.35,70.06,2714,7684,356130449,50624,3125,85.6,29.69,12.18,2.25,1.09,30.6,61.59,75.35
India,Asia,High,2006,37745,6133,348.76,16.92,86.83,1182,3842,739894922,27824,462,48.38,47.1,32.07,4.81,9.88,45.06,90.63,70.27
USA,Africa,Low,2004,16955,4920,350.57,39.67,84.82,2528,2018,441605100,26588,8724,65.78,43.49,12.84,0.6,6.92,34.99,98.27,34.98
Bangladesh,Africa,Lower-Middle,2022,27644,2575,220.76,17.71,60.59,372,4731,996658574,41074,3897,71.24,21.02,8.24,9.93,10.46,55.16,76.21,40.89
Nigeria,Europe,High,2017,28513,9167,348.63,13.55,56.83,659,9799,866242457,3423,8844,74.12,13.23,25.9,4.53,12.32,60.81,53.91,76.49
South Africa,North America,Low,2021,22376,4265,265.34,44.08,67.52,2266,1076,185369400,38269,8024,71.5,14.47,24.18,9.99,4.4,63.59,86.8,74.13
Nigeria,North America,Low,2007,27462,1988,488.7,27.88,89.75,3146,8297,1041658818,17692,1131,40.24,28.15,26.28,3.92,15.74,39.96,92.98,76.96
Pakistan,North America,Lower-Middle,2016,28584,3282,89.61,14.97,54.11,4654,1928,764864997,40744,4405,68.02,31.85,26.64,3.54,9.76,62.48,95.63,42.56
